Category	Term	Count	Percent	Fold	P-value	Bonferroni	FDR	miRNA
Function	Adipocyte Differentiation	9	0.2195122	4.14971458	1.90e-4	0.1166	5.03e-3	hsa-let-7a-2,hsa-let-7b,hsa-mir-33b,hsa-mir-103a-2,hsa-let-7e,hsa-let-7a-3,hsa-mir-103a-1,hsa-mir-375,hsa-let-7a-1
Function	Aging	8	0.12698413	2.40054036	0.0158	1	0.1238	hsa-let-7a-2,hsa-let-7b,hsa-mir-96,hsa-let-7e,hsa-let-7a-3,hsa-mir-30a,hsa-mir-10a,hsa-let-7a-1
Function	Cardiac Regeneration	5	0.22727273	4.29642166	4.78e-3	1	0.0531	hsa-let-7a-2,hsa-let-7a-3,hsa-mir-1-1,hsa-mir-1-2,hsa-let-7a-1
Function	Cell Cycle	20	0.24096386	4.55524225	2.22e-9	1.37e-6	6.58e-7	hsa-let-7a-2,hsa-let-7b,hsa-mir-34b,hsa-mir-33b,hsa-mir-96,hsa-mir-103a-2,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-191,hsa-mir-34c,hsa-mir-1-1,hsa-mir-103a-1,hsa-mir-449b,hsa-mir-182,hsa-mir-196a-2,hsa-mir-449a,hsa-mir-196a-1,hsa-mir-1-2,hsa-let-7a-1,hsa-mir-372
Function	Cell Death	12	0.15384615	2.90834697	5.65e-4	0.3473	0.0111	hsa-let-7a-2,hsa-let-7b,hsa-mir-29c,hsa-let-7e,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-1-1,hsa-mir-184,hsa-mir-10b,hsa-mir-182,hsa-mir-1-2,hsa-let-7a-1
Function	Cell Differentiation	12	0.21428571	4.05091185	1.92e-5	0.0118	1.01e-3	hsa-mir-125a,hsa-let-7a-2,hsa-let-7b,hsa-mir-34b,hsa-mir-96,hsa-let-7e,hsa-let-7a-3,hsa-mir-34c,hsa-mir-1-1,hsa-mir-182,hsa-mir-1-2,hsa-let-7a-1
Function	Cell Division	4	0.23529412	4.44806008	0.0103	1	0.0908	hsa-let-7a-2,hsa-let-7b,hsa-let-7a-3,hsa-let-7a-1
Function	Cell Proliferation	12	0.15	2.8356383	7.17e-4	0.4408	0.0137	hsa-let-7a-2,hsa-let-7b,hsa-mir-34b,hsa-mir-29c,hsa-let-7e,hsa-mir-29b-2,hsa-mir-34c,hsa-mir-1-1,hsa-mir-449b,hsa-mir-449a,hsa-mir-1-2,hsa-let-7a-1
Function	Epithelial-to-Mesenchymal Transition	14	0.1686747	3.18866957	6.61e-5	0.0406	2.55e-3	hsa-mir-125a,hsa-let-7a-2,hsa-let-7b,hsa-mir-29c,hsa-mir-103a-2,hsa-let-7e,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-191,hsa-mir-30a,hsa-mir-103a-1,hsa-mir-184,hsa-mir-375,hsa-let-7a-1
Function	Folliculogenesis	4	0.36363636	6.87427466	1.82e-3	1	0.0274	hsa-let-7a-2,hsa-let-7b,hsa-let-7a-1,hsa-let-7a-3
Function	Glucose Metabolism	6	0.21428571	4.05091185	2.73e-3	1	0.0365	hsa-let-7a-2,hsa-let-7b,hsa-let-7e,hsa-mir-625,hsa-mir-375,hsa-let-7a-1
Function	Hematopoiesis	10	0.1754386	3.31653602	5.78e-4	0.3553	0.0112	hsa-mir-125a,hsa-let-7a-2,hsa-let-7b,hsa-mir-29c,hsa-let-7e,hsa-let-7a-3,hsa-mir-196a-2,hsa-mir-196a-1,hsa-mir-1-2,hsa-let-7a-1
Function	Hormone-mediated Signaling Pathway 	9	0.15517241	2.93341893	2.72e-3	1	0.0366	hsa-let-7a-2,hsa-mir-101-2,hsa-let-7a-3,hsa-mir-1-1,hsa-mir-101-1,hsa-mir-499a,hsa-mir-1-2,hsa-mir-375,hsa-let-7a-1
Function	Innate Immunity	8	0.19047619	3.60081054	1.21e-3	0.7435	0.0197	hsa-let-7a-2,hsa-let-7b,hsa-mir-202,hsa-mir-149,hsa-let-7e,hsa-mir-29b-2,hsa-mir-30a,hsa-let-7a-1
Function	Neural Stem Cell Differentiation	3	0.5	9.45212766	2.55e-3	1	0.0366	hsa-let-7a-2,hsa-let-7a-1,hsa-let-7a-3
