Category	Term	Count	Percent	Fold	P-value	Bonferroni	FDR	miRNA
Function	Epithelial-to-Mesenchymal Transition	13	0.15662651	1.28260507	0.2044	1	0.8527	hsa-mir-590,hsa-mir-934,hsa-mir-203a,hsa-mir-221,hsa-mir-203b,hsa-mir-129-1,hsa-mir-31,hsa-mir-129-2,hsa-mir-18a,hsa-mir-137,hsa-mir-223,hsa-mir-210,hsa-mir-155
Function	Aging	17	0.26984127	2.20971399	9.18e-4	0.7028	0.0168	hsa-mir-590,hsa-mir-9-1,hsa-mir-221,hsa-mir-17,hsa-mir-92a-1,hsa-mir-31,hsa-mir-1248,hsa-mir-146a,hsa-mir-146b,hsa-mir-222,hsa-mir-18a,hsa-mir-223,hsa-mir-9-3,hsa-mir-9-2,hsa-mir-511,hsa-mir-155,hsa-mir-92a-2
Function	Angiogenesis	20	0.30769231	2.51967387	4.21e-5	0.0322	1.53e-3	hsa-mir-19b-1,hsa-mir-891a,hsa-mir-221,hsa-mir-20a,hsa-mir-17,hsa-mir-92a-1,hsa-mir-129-1,hsa-mir-19b-2,hsa-mir-31,hsa-mir-146a,hsa-mir-222,hsa-mir-130a,hsa-mir-378a,hsa-mir-18a,hsa-mir-210,hsa-mir-93,hsa-mir-19a,hsa-mir-92a-2,hsa-mir-150,hsa-mir-378c
Function	Apoptosis	27	0.25471698	2.0858621	8.24e-5	0.0631	2.44e-3	hsa-mir-24-1,hsa-mir-203a,hsa-mir-9-1,hsa-mir-92a-1,hsa-mir-203b,hsa-mir-130a,hsa-mir-9-2,hsa-mir-210,hsa-mir-138-1,hsa-mir-155,hsa-mir-19b-1,hsa-mir-222,hsa-mir-18a,hsa-mir-92a-2,hsa-mir-150,hsa-mir-221,hsa-mir-19b-2,hsa-mir-146a,hsa-mir-942,hsa-mir-138-2,hsa-mir-421,hsa-mir-20a,hsa-mir-17,hsa-mir-216a,hsa-mir-24-2,hsa-mir-9-3,hsa-mir-19a
Function	Cell Cycle	23	0.27710843	2.26922436	7.09e-5	0.0543	2.25e-3	hsa-mir-24-1,hsa-mir-19b-1,hsa-mir-9-1,hsa-mir-221,hsa-mir-20a,hsa-mir-17,hsa-mir-92a-1,hsa-mir-19b-2,hsa-mir-31,hsa-mir-140,hsa-mir-222,hsa-mir-24-2,hsa-mir-138-2,hsa-mir-18a,hsa-mir-223,hsa-mir-9-3,hsa-mir-210,hsa-mir-9-2,hsa-mir-138-1,hsa-mir-19a,hsa-mir-155,hsa-mir-150,hsa-mir-92a-2
Function	Cell Death	22	0.28205128	2.30970105	7.67e-5	0.0587	2.31e-3	hsa-mir-24-1,hsa-mir-19b-1,hsa-mir-203a,hsa-mir-221,hsa-mir-20a,hsa-mir-1226,hsa-mir-17,hsa-mir-92a-1,hsa-mir-130b,hsa-mir-203b,hsa-mir-129-1,hsa-mir-19b-2,hsa-mir-129-2,hsa-mir-146a,hsa-mir-222,hsa-mir-24-2,hsa-mir-885,hsa-mir-18a,hsa-mir-210,hsa-mir-19a,hsa-mir-92a-2,hsa-mir-155
Function	Cell Differentiation	10	0.17857143	1.46231073	0.136	1	0.6312	hsa-mir-203a,hsa-mir-9-1,hsa-mir-203b,hsa-mir-222,hsa-mir-18a,hsa-mir-9-3,hsa-mir-9-2,hsa-mir-210,hsa-mir-155,hsa-mir-150
Function	Cell Proliferation(Hwang Etal Bjc2007)	4	1	8.18894009	2.17e-4	0.1662	5.67e-3	hsa-mir-17,hsa-mir-20a,hsa-mir-18a,hsa-mir-19a
Function	DNA Damage Response	5	0.3125	2.55904378	0.0365	1	0.2385	hsa-mir-18b,hsa-mir-146a,hsa-mir-18a,hsa-mir-130a,hsa-mir-452
Function	Hematopoiesis	16	0.28070175	2.29864985	8.12e-4	0.6223	0.0155	hsa-mir-221,hsa-mir-20a,hsa-mir-17,hsa-mir-92a-1,hsa-mir-146a,hsa-mir-222,hsa-mir-378a,hsa-mir-18a,hsa-mir-196b,hsa-mir-223,hsa-mir-142,hsa-mir-19a,hsa-mir-92a-2,hsa-mir-155,hsa-mir-150,hsa-mir-378c
